Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$29,000.00, original: NZ$29,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$26,000.00, original: NZ$26,000
Total Sum: NZ$48,750.00, original: NZ$ 48750
Total Sum: NZ$25,000.00, original: NZ$ 25000
Total Sum: NZ$44,846.00, original: NZ$44,846
Total Sum: NZ$44,846.00, original: NZ$44,846
Total Sum: NZ$44,846.00, original: NZ$44,846
Total Sum: NZ$45,746.00, original: NZ$45,746
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$41,046.00, original: NZ$41,046
Total Sum: NZ$40,646.00, original: NZ$40,646
Total Sum: NZ$41,046.00, original: NZ$41,046
Total Sum: NZ$40,646.00, original: NZ$40,646
Total Sum: NZ$44,346.00, original: NZ$44,346
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$44,346.00, original: NZ$44,346
Total Sum: NZ$36,146.00, original: NZ$36,146
Total Sum: NZ$34,946.00, original: NZ$34,946
Total Sum: NZ$38,846.00, original: NZ$38,846
Total Sum: NZ$37,846.00, original: NZ$37,846
Total Sum: NZ$39,046.00, original: NZ$39,046
Total Sum: NZ$35,046.00, original: NZ$35,046
Total Sum: NZ$34,946.00, original: NZ$34,946
Total Sum: NZ$54,819.00, original: NZ$54,819
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$58,719.00, original: NZ$58,719
Total Sum: NZ$54,819.00, original: NZ$54,819
Total Sum: NZ$54,819.00, original: NZ$54,819
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$54,819.00, original: NZ$54,819
Total Sum: NZ$54,819.00, original: NZ$54,819
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$36,546.00, original: NZ$36,546
Total Sum: NZ$33,846.00, original: NZ$33,846
Total Sum: NZ$35,146.00, original: NZ$35,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$33,746.00, original: NZ$33,746
Total Sum: NZ$39,046.00, original: NZ$39,046
Total Sum: NZ$36,146.00, original: NZ$36,146
Total Sum: NZ$33,746.00, original: NZ$33,746
Total Sum: NZ$33,746.00, original: NZ$33,746
Total Sum: NZ$36,046.00, original: NZ$36,046
Total Sum: NZ$55,119.00, original: NZ$55,119
Total Sum: NZ$36,046.00, original: NZ$36,046
Total Sum: NZ$34,808.00, original: NZ$34,808
Total Sum: NZ$35,846.00, original: NZ$35,846
Total Sum: NZ$39,046.00, original: NZ$39,046
Total Sum: NZ$38,846.00, original: NZ$38,846
Total Sum: NZ$39,046.00, original: NZ$39,046
Total Sum: NZ$45,246.00, original: NZ$45,246
Total Sum: NZ$46,146.00, original: NZ$46,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$39,446.00, original: NZ$39,446
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$42,746.00, original: NZ$42,746
Total Sum: NZ$47,546.00, original: NZ$47,546
Total Sum: NZ$45,746.00, original: NZ$45,746
Total Sum: NZ$45,746.00, original: NZ$45,746
Total Sum: NZ$42,746.00, original: NZ$42,746
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$42,746.00, original: NZ$42,746
Total Sum: NZ$45,746.00, original: NZ$45,746
Total Sum: NZ$42,346.00, original: NZ$42,346
Total Sum: NZ$37,846.00, original: NZ$37,846
Total Sum: NZ$38,146.00, original: NZ$38,146
Total Sum: NZ$42,146.00, original: NZ$42,146
Total Sum: NZ$38,146.00, original: NZ$38,146
Total Sum: NZ$46,746.00, original: NZ$46,746
Total Sum: NZ$42,146.00, original: NZ$42,146
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$42,146.00, original: NZ$42,146
Total Sum: NZ$37,746.00, original: NZ$37,746
Total Sum: NZ$42,246.00, original: NZ$42,246
Total Sum: NZ$38,446.00, original: NZ$38,446
Total Sum: NZ$38,446.00, original: NZ$38,446
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,646.00, original: NZ$43,646
Total Sum: NZ$49,146.00, original: NZ$49,146
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,046.00, original: NZ$43,046
Total Sum: NZ$43,146.00, original: NZ$43,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$44,446.00, original: NZ$44,446
Total Sum: NZ$34,746.00, original: NZ$34,746
Total Sum: NZ$37,246.00, original: NZ$37,246
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$39,146.00, original: NZ$39,146
Total Sum: NZ$37,046.00, original: NZ$37,046
Total Sum: NZ$38,646.00, original: NZ$38,646
Total Sum: NZ$38,646.00, original: NZ$38,646
Total Sum: NZ$40,046.00, original: NZ$40,046
Total Sum: NZ$40,046.00, original: NZ$40,046
Total Sum: NZ$64,569.00, original: NZ$64,569
Total Sum: NZ$37,646.00, original: NZ$37,646
Total Sum: NZ$57,069.00, original: NZ$57,069
Total Sum: NZ$37,646.00, original: NZ$37,646
Total Sum: NZ$38,046.00, original: NZ$38,046
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,954.00, original: NZ$20,954
Total Sum: NZ$20,850.00, original: NZ$20,850
Total Sum: NZ$22,954.00, original: NZ$22,954
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,100.00, original: NZ$31,100
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$35,000.00, original: NZ$35,000
Total Sum: NZ$32,000.00, original: NZ$32,000
Total Sum: NZ$32,000.00, original: NZ$32,000
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$32,000.00, original: NZ$32,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$31,500.00, original: NZ$31,500
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$36,000.00, original: NZ$36,000
Total Sum: NZ$54,000.00, original: NZ$54,000
Total Sum: NZ$48,000.00, original: NZ$48,000
Total Sum: NZ$54,000.00, original: NZ$54,000
Total Sum: NZ$48,000.00, original: NZ$48,000
Total Sum: NZ$48,000.00, original: NZ$48,000
Total Sum: NZ$54,000.00, original: NZ$54,000
Total Sum: NZ$47,000.00, original: NZ$47,000
Total Sum: NZ$47,000.00, original: NZ$47,000
Total Sum: NZ$68,400.00, original: NZ$68,400
Total Sum: NZ$25,000.00, original: NZ$25000 
Total Sum: NZ$25,000.00, original: NZ$25000 
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$12,500.00, original: NZ$12,500
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
